,Review
0,We visited for temple tour from chennai had a fantastic stay here. Rooms are cleaned as per covid standard. All the common places they kept sanitizer🧴🤲. Recommended for all. Overall good Hospitality. Keep it up. ❤ Read more
1,The rooms and bathrooms are neat and clean. Functional hotel. There is kettle and tea and coffee in the rooms The extra bed was comfortable.  Breakfast had limited options but that’s understandable considering it was served in room and low occupancy levels. The hotel has ample car parking as well one among few hotels to do so.
2,We stayed last one month due to lock down felt home fell for every day. All the staff members was approachable  Especially Front office Mr. selva and SO Mr. Anbu  Extraordinary support gave us. Room service was good  Breakfast and dinner was so yummy
3,House keeping persons were done to excellent services. Timely got the best services. Especially shanthi mam done very much clean work ontime and well disciplines . Thanks to redfox team for given the best and great work.
4,"Stayed at redfox Hotel on transit, room was clean and COVID measure were in place with sanitizers at lift and at restaurant. Food was tasty at restaurant and staff were well behaved across. Over all nice stay."
5,"Check-in and Check out was uneventful.  The rooms were good and clean.  The room service was pretty quick.  The restaurant service was also quick, although the morning breakfast was minimal.  However considering these times, they made sure they served you what you wanted and in real quick time."
6,Have visited post lockdown and found the precautions to be in place. This is my second time with Red Fox. Facilities have been limited but that's understandable considering the current circumstances. Over all safe and good stay.
7,"If you are in Trichy for a short stay to visit the temples and the city, then,this is a good place to stay.  Booked the hotel because of the Lemonteee Brand which in scenarios like now where safety is paramount , is critical.  Located right opposite to the central bus stand, location is both a plus n a minus,  but as I mentioned , it is perfect for people who will spend a large part of their time sightseeing or visiting places in Trichy.  Safety protocols are generally adhered to.  Food tastes good (options are limited though, currently) and the service levels are good and prompt.  The standard rooms should provide more space. Standard Rooms are small and cramped- could certainly do better there.  Overall, a decent hotel for travellers who would want a comfortable stay after…"
8,Hi stayed there for 2 days with family.. it was awesome stay.. food was good.. my son was injured at the time we reached.. staff helped us instantly.. flora was really supportive throughout the stay..they provided milk for kid.. restaurant staff was quick in serving.. room was good n pleasant.. overall it was awesome stay..  definitely we will stay again..
9,Had a good experience. Stayed more than a week I'd not felt anything BaD to comment expect one thing which i felt too BaD is they are not allowing people into our room even our relatives as well expect the one whos is staying rather than that all is gud... Receptionist Miss Flora and Room serving lady are too good I'd like the way of their answering with a pleasant smile every time..... For foodies guys u ill get a compliment breakfast as much want.....
10,"I stayed before one month . The hotel is also very centrally located and you can never miss it coz of the RED color! The food at the restaurant was great too! Great service  overall! Will recommend to anyone who wants to stay comfortable and yet in a budget at Tirchy. Especially the staffs were very friendly Selva, Renganathan very helpful in all the times and lady in the front is always kind and smile on her face"
11,I like the service done by all staff.. Special mention N.L.Renganathan was very professional..I would like to suggest providing complementary for either dinner or laundry. Cos ppl who stay for business purposes can't wash their dresses in the room.. I wish I would come back and stay again here..☺️
12,This hotel is the best offer one can get around town. Their hospitality and willingness to help is next to non. I made my booking online but I wasn't disappointed the fact that I arrived and checked-in earlier than expected without extra charges. They also organised for me the transport means to the airport that made my experience in Trichy a memorable one. Front desk services were exceptionally good as the lady was always welcoming and willing to help. It's a good place for people from diverse backgrounds as they serve indiscriminately. Give it a try you won't get disappointed
13,No safe for ladies. Front office man Mr.ranganathan speak with very sexy.I am very angry with this guy.food taste normal very spicy.wifi also dead slow.night time house keeping service slow.divya good.
14,"i loved every part of this hotel! It was budget friendly, clean, modern looking and friendly staff! Room was just nice for a boutique hotel. The hotel is also very centrally located and you can never miss it coz of the RED color! The food at the restaurant was great too! Great service in overall! Will recommend to anyone who wants to stay comfortable and yet in a budget at Tirchy!"
