,Model,Make,Transmission,Engine,Year,KM,Price,Owner
0,MarutiAlto,LXI Manual,Manual,Petrol,2020,"3,494 km","₹4,19,599",1st Owner
1,MarutiEeco,5 STR WITH AC PLUSHTR Manual,Manual,Petrol,2014,"18,371 km","₹3,54,499",1st Owner
2,MarutiSwift,LXI Manual,Manual,Petrol,2019,"2,484 km","₹5,86,699",1st Owner
3,RenaultKwid,1.0 RXT Opt AT Automatic,Automatic,Petrol,2020,"4,824 km","₹4,83,299",1st Owner
4,MarutiSwiftDzire,VXI 1.2 BS IV Manual,Manual,Petrol,2014,"10,131 km","₹4,92,099",1st Owner
5,MarutiAlto800,LXI Manual,Manual,Petrol,2015,"23,689 km","₹2,91,999",1st Owner
6,MarutiWagonR1.0,VXI Manual,Manual,Petrol,2015,"25,650 km","₹3,82,699",1st Owner
7,HyundaiEon,SPORTZ Manual,Manual,Petrol,2015,"15,346 km","₹3,01,299",3rd Owner
8,TataTiago,XT 1.2 REVOTRON Manual,Manual,Petrol,2018,"11,253 km","₹4,86,799",1st Owner
9,MarutiAlto800,VXI Manual,Manual,Petrol,2017,"21,239 km","₹3,20,999",1st Owner
10,TataTiago,XZ 1.2 REVOTRON Manual,Manual,Petrol,2018,"12,997 km","₹5,36,599",1st Owner
11,RenaultKwid,1.0 RXT Opt Manual,Manual,Petrol,2017,"15,013 km","₹3,86,799",1st Owner
12,MarutiWagonR1.0,VXI OPT AMT Automatic,Automatic,Petrol,2016,"32,050 km","₹4,18,999",1st Owner
13,MarutiEeco,5 STR WITH AC PLUSHTR Manual,Manual,Petrol,2017,"24,142 km","₹4,05,399",1st Owner
14,MarutiAlto800,LXI Manual,Manual,Petrol,2013,"44,177 km","₹2,57,499",1st Owner
15,MarutiAlto800,LXI Manual,Manual,Petrol,2015,"22,504 km","₹2,94,599",3rd Owner
16,MarutiAltoK10,VXI Manual,Manual,Petrol,2013,"7,304 km","₹2,89,199",1st Owner
17,MarutiEeco,5 STR WITH AC PLUSHTR Manual,Manual,Petrol,2018,"18,502 km","₹4,42,299",1st Owner
18,MarutiAltoK10,VXI Manual,Manual,Petrol,2015,"20,973 km","₹3,11,199",1st Owner
19,MarutiAlto800,LXI Manual,Manual,Petrol,2017,"12,389 km","₹3,22,199",1st Owner
20,MarutiOMNIE,8 STR ,,Petrol,2017,"1,193 km","₹3,50,499",1st Owner
21,MarutiWagonR1.0,VXI Manual,Manual,Petrol,2013,"38,650 km","₹3,49,899",2nd Owner
22,MarutiAltoK10,VXI AMT Manual,Manual,Petrol,2016,"19,487 km","₹3,60,499",1st Owner
